COM CODE,NUMBER,time
21001,1315 BIO F110,M 2 3
21001,1053 BIO F110,M 7 8
21001,1322 BIO F110,T 4 5
21001,1323 BIO F110,T 7 8
21001,1324 BIO F110,W 2 3
21001,1325 BIO F110,W 4 5
21001,1326 BIO F110,W 7 8
21001,1327 BIO F110,TH 2 3
21001,1328 BIO F110,TH 4 5
21001,1316 BIO F110,TH 7 8
21001,1317 BIO F110,F 2 3
21001,1318 BIO F110,F 4 5
21001,1319 BIO F110,F 7 8
21001,1320 BIO F110,S 2 3
21001,1321 BIO F110,S 4 5
21002,1054 BIO F111,M W F 4
21002,1054 BIO F111,F 1
21002,1331 BIO F111,M W F 4
21002,1331 BIO F111,F 1
21002,1332 BIO F111,M W F 4
21002,1333 BIO F111,M W F 4
21002,1333 BIO F111,S 1
21002,1334 BIO F111,M W F 8
21002,1334 BIO F111,F 1
21002,1335 BIO F111,M W F 8
21002,1335 BIO F111,F 1
21002,1336 BIO F111,M W F 8
21002,1336 BIO F111,S 1
21002,1337 BIO F111,T TH S 4
21002,1337 BIO F111,S 1
21002,1338 BIO F111,T TH S 4
21002,1338 BIO F111,S 1
21002,1329 BIO F111,T TH S 4
21002,1329 BIO F111,F 1
21002,1330 BIO F111,T TH S 4
21112,1087 BIO F211,M W F 3
21112,1491 BIO F211,T 1
21114,1089 BIO F212,M W F 4
21114,1493 BIO F212,T 7 8 9
21114,1494 BIO F212,TH 7 8 9
21113,1088 BIO F213,T TH S 3
21113,1492 BIO F213,TH 10
21115,1090 BIO F214,T TH S 4
21115,1495 BIO F214,TH 1
21427,1165 BIO F311,M W F 9
21427,1584 BIO F311,TH 8
21428,1166 BIO F312,T TH S 5
21428,1585 BIO F312,TH 9
21429,1167 BIO F313,T TH S 2
21429,1586 BIO F313,W 1
21433,1168 BIO F417,M W F 10
21434,1169 BIO F418,F 7
21434,1587 BIO F418,M W 7 8 9
21437,3770 BIO F441,T TH S 2
22122,1299 BIO G510,M W F 2
20071,1016 BIO G512,T TH F 9
20392,1024 BIO G514,T TH F 7
20111,1017 BIO G515,M W F 5
22009,1288 BIO G523,T 8 TH S 2
22007,1287 BIO G525,T TH S 2
20192,1019 BIO G526,M W F 4
20151,1018 BIO G542,M W F 3
22016,1289 BIO G612,T TH S 5
22018,1290 BIO G661,M W F 10
21334,1148 BITS F312,M W F 9
22277,1308 BITS F314,M W F 7
22265,1306 BITS F315,M W F 7
21809,1273 BITS F417,M W F 5
22001,1283 BITS F437,T TH 10 11
21338,1149 BITS F463,M W F 5
21339,1150 BITS F464,TH 10 11 S 4
21379,1155 BITS F467,M W F 5
22294,3772 BITS G518,T TH S 4
20009,1014 BITS G553,T TH S 5
21069,1067 CHE F211,M W F 3
21069,1422 CHE F211,F 1
21186,1120 CHE F313,M W F 3
21186,1517 CHE F313,W 1
21187,1121 CHE F314,M W F 2
21187,1518 CHE F314,T 1
21201,1122 CHE F414,M W F 7
21210,1125 CHE F415,T TH S 5
21205,1124 CHE F421,T TH S 2
22178,1302 CHE F422,M W F 8
21202,1123 CHE F433,T TH S 3
22002,1284 CHE G523,T TH S 4
22084,1294 CHE G528,M W F 5
20618,1036 CHE G613,M W F 4
22032,1291 CHE G622,M W F 9
21006,1345 CHEM F110,M 2 3
21006,1349 CHEM F110,M 4 5
21006,1350 CHEM F110,T 2 3
21006,1351 CHEM F110,T 4 5
21006,1352 CHEM F110,T 7 8
21006,1057 CHEM F110,W 2 3
21006,1353 CHEM F110,W 8 9
21006,1354 CHEM F110,TH 2 3
21006,1355 CHEM F110,TH 4 5
21006,1346 CHEM F110,F 4 5
21006,1347 CHEM F110,F 8 9
21006,1348 CHEM F110,S 2 3
21007,1058 CHEM F111,M W F 3
21007,1058 CHEM F111,T 8
21007,1358 CHEM F111,M W F 3
21007,1358 CHEM F111,T 8
21007,1359 CHEM F111,M W F 3
21007,1359 CHEM F111,TH 8
21007,1360 CHEM F111,M W F 3
21007,1360 CHEM F111,T 1
21007,1361 CHEM F111,M W F 9
21007,1361 CHEM F111,TH 1
21007,1362 CHEM F111,M W F 9
21007,1362 CHEM F111,W 7
21007,1363 CHEM F111,M W F 9
21007,1363 CHEM F111,W 1
21007,1364 CHEM F111,T TH S 3
21007,1364 CHEM F111,T 1
21007,1365 CHEM F111,T TH S 3
21007,1365 CHEM F111,W 1
21007,1356 CHEM F111,T TH S 3
21007,1356 CHEM F111,TH 8
21007,1357 CHEM F111,T TH S 3
21007,1357 CHEM F111,TH 1
21116,1091 CHEM F211,M W F 4
21116,1496 CHEM F211,TH 8
21117,1092 CHEM F212,M W F 3
21117,1497 CHEM F212,T 1
21118,1093 CHEM F213,T TH 9 10
21118,1498 CHEM F213,S 5
21119,1094 CHEM F214,T TH S 3
21119,1499 CHEM F214,F 1
21583,1199 CHEM F333,M W F 9
21585,1200 CHEM F335,T TH 10 11
21587,1201 CHEM F337,M W F 10
21093,1461 CS F215,W 9 10
21093,1462 CS F215,F 7 8
21093,1463 CS F215,F 9 10
21091,1080 CS F222,M W F 3
21091,1453 CS F222,M 1
21316,1144 CS F301,M W F 2
21316,1539 CS F301,S 1
21317,1145 CS F342,T TH S 3
21317,1540 CS F342,TH 8 9
21314,1142 CS F351,T TH S 5
21314,1537 CS F351,F 1
21315,1143 CS F372,M W F 4
21315,1538 CS F372,T 7
21333,1147 CS F407,M W F 7
21857,1279 CS F469,M W F 9
22106,1296 CS G520,W 2 3 F 2
22004,1285 CS G525,T TH S 3
22005,1286 CS G526,M W F 5
22108,1297 CS G527,T 1  2 TH 2
20918,1050 CS G553,T TH S 4
20782,1048 CS G623,M W F 4
20362,1023 DE G531,M W F 7
20678,1038 DE G611,M W F 5
20625,1037 DE G631,T 1 TH 1  2
21380,1156 ECE F211,M W F 4
21380,1710 ECE F211,F 1
21380,1548 ECE F211,M W F 4
21380,1711 ECE F211,F 1
21380,1549 ECE F211,T TH S 3
21380,1712 ECE F211,F 1
21380,3753 ECE F211,T TH S 3
21380,3752 ECE F211,F 1
21380,1550 ECE F211,T 7 8 9
21380,1551 ECE F211,W 3 4 5
21380,1552 ECE F211,W 7 8 9
21380,1553 ECE F211,TH 3 4 5
21380,1554 ECE F211,TH 7 8 9
21381,1157 ECE F212,M W 5
21381,1713 ECE F212,F 5 S 1
21381,1555 ECE F212,M W 5
21381,1714 ECE F212,F 5 S 7
21381,1556 ECE F212,M W 5
21381,1715 ECE F212,F 5 S 1
21381,1557 ECE F212,M W 5
21381,1716 ECE F212,F 5 S 1
21381,1558 ECE F212,T TH 5
21381,1717 ECE F212,S 5 M 1
21381,1559 ECE F212,T TH 5
21381,1718 ECE F212,S 5 M 1
21381,1560 ECE F212,T TH 5
21381,1719 ECE F212,S 5 M 1
21381,1561 ECE F212,T TH 5
21381,1720 ECE F212,S 5 M 1
21383,1573 ECE F214,M W F 3
21383,1721 ECE F214,T 1
21383,1159 ECE F214,T TH S 4
21383,1722 ECE F214,T 1
21382,1158 ECE F215,M W F 2
21382,1562 ECE F215,M W F 2
21382,1569 ECE F215,TH 1
21382,1570 ECE F215,TH 1
21382,1571 ECE F215,TH 1
21382,1572 ECE F215,TH 1
21382,3756 ECE F215,TH 1
21382,3757 ECE F215,TH 1
21382,1565 ECE F215,M 7 8
21382,1568 ECE F215,F 9 10
21389,1161 ECE F311,T TH S 4
21389,1576 ECE F311,M 3 4 5
21389,1577 ECE F311,T 1 2 3
21389,1578 ECE F311,W 3 4 5
21389,1579 ECE F311,TH 1 2 3
21389,1580 ECE F311,TH 7 8 9
21389,1581 ECE F311,F 3 4 5
21388,1160 ECE F314,M W F 2
21388,1574 ECE F314,S 1
21388,1575 ECE F314,S 1
